key	Quantity	Price
1136005200000	1271000	71.89
1138683600000	1271000	75.51
1141102800000	1271000	68.49
1143781200000	0	62.72
1146369600000	0	70.39
1149048000000	0	59.77
1151640000000	0	57.27
1154318400000	0	67.96
1156996800000	0	67.85
1159588800000	3899486	76.98
1162270800000	3899486	81.08
1164862800000	3899486	91.66
1167541200000	3564700	84.84
1170219600000	3564700	85.73
1172638800000	3564700	84.61
1175313600000	2648493	92.91
1177905600000	2648493	99.8
1180584000000	2648493	121.191
1183176000000	2522993	122.04
1185854400000	2522993	131.76
1188532800000	2522993	138.48
1191124800000	2906501	153.47
1193803200000	2906501	189.95
1196398800000	2906501	182.22
1199077200000	2206761	198.08
1201755600000	2206761	135.36
1204261200000	2206761	125.02
1206936000000	2287726	143.5
1209528000000	2287726	173.95
1212206400000	2287726	188.75
1214798400000	2732646	167.44
1217476800000	2732646	158.95
1220155200000	2732646	169.53
1222747200000	2599196	113.66
1225425600000	2599196	107.59
1228021200000	2599196	92.67
1230699600000	1924387	85.35
1233378000000	1924387	90.13
1235797200000	1924387	89.31
1238472000000	1756311	105.12
1241064000000	1756311	125.83
1243742400000	1756311	135.81
1246334400000	1743470	142.43
1249012800000	1743470	163.39
1251691200000	1743470	168.21
1254283200000	1519010	185.35
1256961600000	1519010	188.5
1259557200000	1519010	199.91
1262235600000	1591444	210.732
1264914000000	1591444	192.063
1267333200000	1591444	204.62
1270008000000	1543784	235
1272600000000	1543784	261.09
1275278400000	1543784	256.88
1277870400000	1309915	251.53
1280548800000	1309915	257.25
1283227200000	1309915	243.1
1285819200000	1331875	283.75
1288497600000	1331875	300.98
1291093200000	1331875	311.15
1293771600000	1331875	322.56
1296450000000	1154695	339.32
1298869200000	1154695	353.21
1301544000000	1194025	348.5075
1304136000000	1194025	350.13
1306814400000	1194025	347.83
1309406400000	1194025	335.67
1312084800000	1194025	390.48
1314763200000	1244525	384.83
1317355200000	475000	381.32
1320033600000	475000	404.78
1322629200000	475000	382.2
1325307600000	690033	405
1327986000000	690033	456.48
1330491600000	690033	542.44
1333166400000	514733	599.55
1335758400000	514733	583.98