Date	Haabersti	Kesklinn	Kristiine	Lasnamae	Mustamae	Nomme	Pirita	Pohja-Tallinn
12/2011	42294	51308	30055	116273	64237	38898	16636	56443
1/2012	42261	51629	30092	116117	64200	38947	16683	56476
2/2012	42282	51717	30069	116135	64154	38938	16678	56461
3/2012	42323	51740	30062	116123	64138	38926	16669	56489
4/2012	42316	51751	30070	116128	64107	38944	16690	56533
5/2012	42319	51837	30059	116114	64017	38947	16699	56544
6/2012	42407	51903	30043	116158	64026	38943	16711	56581
7/2012	42464	51969	30077	116151	64003	38990	16713	56626
8/2012	42505	52045	30069	116187	64028	38964	16715	56637
9/2012	42571	52302	30093	116198	64209	38926	16770	56672
10/2012	42669	52487	30120	116234	64194	38898	16838	56667
11/2012	42707	52628	30171	116284	64218	38972	16908	56694
12/2012	42839	52820	30274	116490	64425	39049	17019	56914
1/2013	43056	53526	30546	117087	65038	39257	17134	57405
2/2013	43145	53846	30689	117329	65231	39285	17213	57707
3/2013	43187	54025	30765	117514	65347	39274	17243	57894
4/2013	43210	54196	30822	117713	65437	39312	17253	58031
5/2013	43256	54385	30851	117738	65555	39349	17268	58101
6/2013	43299	54404	30877	117808	65590	39329	17296	58142
7/2013	43312	54602	30922	117956	65640	39367	17287	58181
8/2013	43352	54860	30972	118031	65728	39429	17288	58234
9/2013	43400	55312	31103	117968	65879	39458	17350	58308
10/2013	43488	55581	31189	118112	65968	39471	17360	58405
11/2013	43537	55745	31281	118232	66001	39503	17393	58414
12/2013	43571	55750	31256	118211	65866	39487	17373	58385
1/2014	43603	56114	31353	118271	65911	39517	17355	58470
2/2014	43643	56268	31343	118211	65942	39496	17368	58501